ID_Ra_500prod,Navn,DSK Kategori,Name,DSK Category,Unit,Agriculture,iLUC,Food processing,Packaging,Transport,Retail,Total kg CO2-eq/kg,Energi (KJ/100 g),Fedt (g/100 g),Kulhydrat (g/100 g),Protein (g/100 g),Data sources,Comments,"GPC brick no, level 4",ID_food,ID_pack,ID_retail,GPC Category,GPC Kategori,"GPC brick no, level 4",,"GPC brick no, level 1",,"GPC brick no, level 2",,"GPC brick no, level 3",,Ekstra kategorier
Ra00001,"Peberfrugt, rød, rå",Grøntsager,"Pepper, sweet, red, raw",Vegetables,kg,0.25,0.03,0.00,0.14,0.58,0.01,1.02,133,0.1,5.2,0.9,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.,"Data are obtained as products on the Danish crop market, where supplying countries are identified based on trade statistics. Data on fertilizer use and field emissions etc. are calculated based on data from FAOSTAT, the International Fertilizer Association and emissions models from IPCC. Retail is modelled assuming the following storage: Ambient. See more details as well as literature references in the methodoly report on: www.denstoreklimadatabase.dk.",10006191,Cm039,Pa059,Ma0332,Vegetables,Grøntsager,10006191,Square Tapering Sweet Peppers (Peg Top),50000000,Food/Beverage/Tobacco,50260000,Vegetables (Non Leaf) – Unprepared/Unprocessed (Fresh),50260400,Peppers,
Ra00002,"Tomat, uspec., rå",Grøntsager,"Tomato, ripe, raw, origin unknown",Vegetables,kg,0.07,0.01,0.00,0.14,0.48,0.01,0.70,87,0.1,3.2,0.8,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.,"Data are obtained as products on the Danish crop market, where supplying countries are identified based on trade statistics. Data on fertilizer use and field emissions etc. are calculated based on data from FAOSTAT, the International Fertilizer Association and emissions models from IPCC. Retail is modelled assuming the following storage: Ambient. See more details as well as literature references in the methodoly report on: www.denstoreklimadatabase.dk.",10006165,Cm167,Pa059,Ma0332,Vegetables,Grøntsager,10006165,Tomatoes – Round,50000000,Food/Beverage/Tobacco,50260000,Vegetables (Non Leaf) – Unprepared/Unprocessed (Fresh),50260300,Tomatoes,
Ra00003,"Squash, rå",Grøntsager,"Squash, raw",Vegetables,kg,0.14,0.04,0.00,0.06,0.58,0.01,0.83,81,0.2,2.4,1.4,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.,"Data are obtained as products on the Danish crop market, where supplying countries are identified based on trade statistics. Data on fertilizer use and field emissions etc. are calculated based on data from FAOSTAT, the International Fertilizer Association and emissions models from IPCC. Retail is modelled assuming the following storage: Ambient. See more details as well as literature references in the methodoly report on: www.denstoreklimadatabase.dk.",10006355,Cm135,Pa040,Ma0332,Vegetables,Grøntsager,10006355,Squash (Calabaza),50000000,Food/Beverage/Tobacco,50260000,Vegetables (Non Leaf) – Unprepared/Unprocessed (Fresh),50260700,Cucurbits – Edible Peel,
Ra00004,"Aubergine, rå",Grøntsager,"Aubergine, raw",Vegetables,kg,0.16,0.02,0.00,0.14,0.65,0.01,0.97,83,0.1,3.1,0.9,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.,"Data are obtained as products on the Danish crop market, where supplying countries are identified based on trade statistics. Data on fertilizer use and field emissions etc. are calculated based on data from FAOSTAT, the International Fertilizer Association and emissions models from IPCC. Retail is modelled assuming the following storage: Ambient. See more details as well as literature references in the methodoly report on: www.denstoreklimadatabase.dk.",10006128,Cm056,Pa059,Ma0332,Vegetables,Grøntsager,10006128,Aubergines,50000000,Food/Beverage/Tobacco,50260000,Vegetables (Non Leaf) – Unprepared/Unprocessed (Fresh),50260500,Solanacea/Others,
Ra00005,"Tomat, soltørret",Grøntsager,"Tomato, dried",Vegetables,kg,0.91,0.09,0.00,0.26,0.68,0.01,1.95,1187,3,43.5,14.1,Data on inputs and outputs of the food processing industry is modelled using: Wikipedia (2020); Bahç?vano?lu (2020).,"It has been assumed that the food processing industry is located in Italy. According to Wikipedia (2020) between 8 and 14 kg fresh tomato are needed per kg sun-dried tomato. We also include land use for sun-drying, from a producer in Turkey (Bahç?vano?lu). Retail is modelled assuming the following storage: Ambient. See more details as well as literature references in the methodoly report on: www.denstoreklimadatabase.dk.",10000272,Fa0152,Pa066,Ma0332,Vegetables,Grøntsager,10000272,Vegetables – Prepared/Processed (Shelf Stable),50000000,Food/Beverage/Tobacco,50100000,Fruits/Vegetables/Nuts/Seeds Prepared/Processed,50102100,Vegetables – Prepared/Processed,
Ra00006,"Græskar, rå",Grøntsager,"Pumpkin, raw",Vegetables,kg,0.14,0.04,0.00,0.06,0.58,0.01,0.83,75,0.1,3.3,0.6,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.,"Data are obtained as products on the Danish crop market, where supplying countries are identified based on trade statistics. Data on fertilizer use and field emissions etc. are calculated based on data from FAOSTAT, the International Fertilizer Association and emissions models from IPCC. Retail is modelled assuming the following storage: Ambient. See more details as well as literature references in the methodoly report on: www.denstoreklimadatabase.dk.",10006038,Cm135,Pa040,Ma0332,Vegetables,Grøntsager,10006038,Pumpkins/Winter Squash,50000000,Food/Beverage/Tobacco,50260000,Vegetables (Non Leaf) – Unprepared/Unprocessed (Fresh),50260900,Cucurbits – Inedible Peel,
Ra00007,"Agurk, rå",Grøntsager,"Cucumber, raw",Vegetables,kg,0.05,0.01,0.00,0.14,0.35,0.01,0.56,50,0,1.6,0.7,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.,"Data are obtained as products on the Danish crop market, where supplying countries are identified based on trade statistics. Data on fertilizer use and field emissions etc. are calculated based on data from FAOSTAT, the International Fertilizer Association and emissions models from IPCC. Retail is modelled assuming the following storage: Ambient. See more details as well as literature references in the methodoly report on: www.denstoreklimadatabase.dk.",10006014,Cm053,Pa059,Ma0332,Vegetables,Grøntsager,10006014,Cucumbers,50000000,Food/Beverage/Tobacco,50260000,Vegetables (Non Leaf) – Unprepared/Unprocessed (Fresh),50260600,Cucumbers,
Ra00008,"Drueagurk (sylteagurk), rå",Grøntsager,"Gherkin cucumber, raw",Vegetables,kg,0.05,0.01,0.00,0.14,0.35,0.01,0.56,70,0.1,2.1,1.2,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.,"Data are obtained as products on the Danish crop market, where supplying countries are identified based on trade statistics. Data on fertilizer use and field emissions etc. are calculated based on data from FAOSTAT, the International Fertilizer Association and emissions models from IPCC. Retail is modelled assuming the following storage: Ambient. See more details as well as literature references in the methodoly report on: www.denstoreklimadatabase.dk.",10006449,Cm053,Pa059,Ma0332,Vegetables,Grøntsager,10006449,Gherkins,50000000,Food/Beverage/Tobacco,50260000,Vegetables (Non Leaf) – Unprepared/Unprocessed (Fresh),50260600,Cucumbers,
Ra00009,"Peber, chili, rå",Grøntsager,"Pepper, hot chili, raw",Vegetables,kg,0.25,0.03,0.00,0.14,0.58,0.01,1.02,187,0.2,7.7,2,The inputs to the Danish market and inputs and outputs to the crop cultivation activities are consistently modelled using data from e.g. FAOSTAT and emission models from IPCC.,"Data are obtained as products on the Danish crop market, where supplying countries are identified based on trade statistics. Data on fertilizer use and field emissions etc. are calculated based on data from FAOSTAT, the International Fertilizer Association and emissions models from IPCC. Retail is modelled assuming the following storage: Ambient. See more details as well as literature references in the methodoly report on: www.denstoreklimadatabase.dk.",10006102,Cm039,Pa059,Ma0332,Vegetables,Grøntsager,10006102,Chilli Peppers,50000000,Food/Beverage/Tobacco,50260000,Vegetables (Non Leaf) – Unprepared/Unprocessed (Fresh),50260400,Peppers,
Ra00010,"Oksekød, inderlår uden kappe, rå",Kød/fjerkræ,"Beef, topside, cap off, raw",Meat/poultry,kg,39.65,7.68,-2.41,0.14,0.63,0.00,45.69,472,2.5,0,22.3,Data on inputs and outputs of the food processing industry is modelled using: Blonk (2015); Schmidt (2010); European Commission (2018); Holland et al. (2014); Bringhurst Meats (2020).,"It has been assumed that the food processing industry is located in Denmark. Basic mass balance from the Product Environmental Footprint Category 1 Rules Guidance, table 24 in Eurpean Commission (2018), while distribution of fresh meat into different cuts is obtained from the University of Tennessee (2014), except the weight of tenederloin, which is estimated as 1/3 of the weight of porterhouse steak. Inputs of water and energy from Blonk (2015).  Different beef cuts and minced meat are co-determining products. A change in demand for one of the co-products will adjust so that they have the same market trend. A change in demand for one of the co-products will affect the production volume of the multiple output process in proportion to its share in the gross margin of the co-product (Schmidt 2010). This is equivalent to the result of an economic allocation. Prices for all determining co-products have been obtained from Bringhurst meats (2020). Retail is modelled assuming the following storage: Cooled. See more details as well as literature references in the methodoly report on: www.denstoreklimadatabase.dk.",10005786,Fa0034,Pa059,Ma0333,Meat/poultry/other animals,Kød/fjerkræ,10005786,Beef – Unprepared/Unprocessed,50000000,Food/Beverage/Tobacco,50240000,Meat/Poultry/Other Animals,50240200,Meat/Poultry/Other Animals – Unprepared/Unprocessed,
